CplxID,Borough,CplxName,Routes,CplxLat,CplxLong,Hub,Time,PreEntries,NadirEntries,LatestEntries,Diff1,DiffPct1,Diff2,DiffPct2
614.0,M,59 St - Columbus Circle,A B C D 1,40.76811,-73.981891,1.0,08:00:00-12:00:00,11275.390243902439,559.25,1555.0,-10716.140243902439,-0.9504008297803764,995.75,1.7805096110862764
16.0,M,8 St - NYU,R W,40.730328,-73.992629,1.0,08:00:00-12:00:00,3816.0731707317073,58.0,236.75,-3758.0731707317073,-0.9848011300085007,178.75,3.081896551724138
17.0,M,Prince St,R W,40.724329,-73.997702,1.0,08:00:00-12:00:00,1527.0975609756097,28.0,158.75,-1499.0975609756097,-0.9816645637348069,130.75,4.669642857142857
20.0,M,City Hall,R W,40.713282,-74.006978,1.0,08:00:00-12:00:00,839.1219512195122,33.0,99.25,-806.1219512195122,-0.9606731775374956,66.25,2.007575757575758
636.0,Bk,Jay St - MetroTech,R A C F,40.692338,-73.987342,0.0,08:00:00-12:00:00,7359.487804878049,440.75,1046.0,-6918.737804878049,-0.9401113213737701,605.25,1.3732274532047646
6.0,Q,39 Av,N W,40.752882,-73.932755,0.0,08:00:00-12:00:00,979.439024390244,32.0,167.5,-947.439024390244,-0.967328236671066,135.5,4.234375
5.0,Q,36 Av,N W,40.756804,-73.929575,0.0,08:00:00-12:00:00,2196.2926829268295,117.75,467.0,-2078.5426829268295,-0.9463869269722814,349.25,2.9660297239915074
4.0,Q,Broadway,N W,40.76182,-73.925508,0.0,08:00:00-12:00:00,4788.8536585365855,162.75,826.0,-4626.1036585365855,-0.9660148311882777,663.25,4.075268817204301
3.0,Q,30 Av,N W,40.766779,-73.921479,0.0,08:00:00-12:00:00,8217.707317073171,218.5,1043.75,-7999.207317073171,-0.9734110754290259,825.25,3.776887871853547
2.0,Q,Astoria Blvd,N W,40.770258,-73.917843,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Q,Astoria - Ditmars Blvd,N W,40.775036,-73.912034,0.0,08:00:00-12:00:00,8110.121951219512,251.25,1175.0,-7858.871951219512,-0.9690201945776882,923.75,3.6766169154228856
453.0,Q,82 St - Jackson Hts,7,40.747659,-73.883697,0.0,08:00:00-12:00:00,3883.731707317073,298.5,1069.5,-3585.231707317073,-0.9231409318420176,771.0,2.5829145728643215
451.0,Q,Junction Blvd,7,40.749145,-73.869527,0.0,08:00:00-12:00:00,5904.219512195122,562.75,2270.25,-5341.469512195122,-0.9046868093508983,1707.5,3.034207019102621
44.0,Bk,Church Av,B Q,40.650527,-73.962982,0.0,08:00:00-12:00:00,5780.317073170731,488.0,1331.5,-5292.317073170731,-0.9155755655230323,843.5,1.728483606557377
26.0,Bk,DeKalb Av,B Q R,40.690635,-73.981824,0.0,08:00:00-12:00:00,6341.365853658536,260.0,824.25,-6081.365853658536,-0.958999369221065,564.25,2.1701923076923078
108.0,Q,Middle Village - Metropolitan Av,M,40.711396,-73.889601,0.0,08:00:00-12:00:00,765.9756097560976,68.25,219.75,-697.7256097560976,-0.9108979461869129,151.5,2.21978021978022
151.0,M,145 St,A B C D,40.824783,-73.944216,0.0,08:00:00-12:00:00,7249.975609756098,572.5,1432.5,-6677.475609756098,-0.9210342171041787,860.0,1.502183406113537
153.0,M,125 St,A B C D,40.811109,-73.952343,0.0,08:00:00-12:00:00,7326.219512195122,621.0,1419.5,-6705.219512195122,-0.9152359550561798,798.5,1.285829307568438
621.0,Bk,Broadway Junction,J Z L A C,40.678848,-73.904139,0.0,08:00:00-12:00:00,2214.6341463414633,346.0,715.0,-1868.6341463414633,-0.8437665198237886,369.0,1.0664739884393064
218.0,Bx,167 St,B D,40.833771,-73.91844,0.0,08:00:00-12:00:00,2132.6585365853657,318.0,695.75,-1814.6585365853657,-0.8508903349763836,377.75,1.1878930817610063
601.0,M,14 St / 6 Av,L F M 1 2 3,40.738007,-73.998381,1.0,08:00:00-12:00:00,7207.326829268293,248.0,779.5,-6959.326829268293,-0.965590571112594,531.5,2.1431451612903225
